_id,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name,__v
663fa40f8a91151dd2f9ee95,Sun Dec 17 21:49:59 +0000 2023,1736504034281058816,"@XynervaZafirah @convomfs Bagi yg msh sekolah/kuliah, belajar yg tekun. Itu bekal krusial buat masa depan. Trus hrs nabung, berapapun itu. Trus jng buru2 nikah",0,0,0,1,in,1591570710085783552,1736368418859926016,sooyimyim,https://twitter.com/sooyimyim/status/1736504034281058704,,,,
663fa40f8a91151dd2f9ee96,Sun Dec 17 21:49:42 +0000 2023,1736503963321860352,Dia udah lulus kuliah setelah 4 tahun jadi mungkin sekitar 21-22 tahun. Ngapain tuh pacaran sama minor??,0,1,0,0,in,1616330715590979584,1736503457023214080,scxramoo,https://twitter.com/scxramoo/status/1736503963321860411,,,,
663fa40f8a91151dd2f9ee97,Sun Dec 17 21:48:35 +0000 2023,1736503683146482176,"Sebenernya prestasi gue tiap jenjang sekolah tuh ada aja, cuma beda bidang 😂  Sd : peringkatnya bagus Smp : menang olim dan cerdas cermat tapi gadapet peringkat Sma : gold medal choir tapi peringkatnya ampas bgt 😵‍💫  Kuliah : cumlaude, terbaik 1 fakultas dan terbaik 2 univ 😂",0,0,0,0,in,1629789984738926592,1736503683146482176,mitissimuss,https://twitter.com/mitissimuss/status/1736503683146482097,,,,
663fa40f8a91151dd2f9ee98,Sun Dec 17 21:47:10 +0000 2023,1736503328794898688,dipaksa bangun jam segini krena keadaan (gw kuliah pagi),0,1,0,0,in,1471664572645867520,1736503328794898688,wackfousther,https://twitter.com/wackfousther/status/1736503328794898659,,,,
663fa40f8a91151dd2f9ee99,Sun Dec 17 21:46:44 +0000 2023,1736503216643444736,WOY HUHU MAU KULIAH DI UNUDD PLS HUHUHU,0,0,0,0,in,1597969291483439104,1736503216643444736,wh4thedick,https://twitter.com/wh4thedick/status/1736503216643444807,,,,
663fa40f8a91151dd2f9ee9a,Sun Dec 17 21:46:05 +0000 2023,1736503056085532928,@Little_secret9 Bakar ijazah = ganti biaya yg di habiskan selama kuliah.,0,0,0,0,in,974827580565028864,1736186758306611456,nuryh15_,https://twitter.com/nuryh15_/status/1736503056085533031,,,,
663fa40f8a91151dd2f9ee9b,Sun Dec 17 21:45:52 +0000 2023,1736503000603173120,"@HAIKYUUFESS Quote nya Mbak Saeko jadi motivasiku waktu gapyear  There are some flowers you can only see when you take detours""  Gapapa w kuliah telat setahun, emang udah takdir Allah kayak gitu. Pasti ada hikmahnya, bukan sekarang, nanti juga tau kok. Sabar &amp  jalani aja...""",0,1,0,0,in,2153688104,1736346821763752192,icyfoxgalaxy,https://twitter.com/icyfoxgalaxy/status/1736503000603173180,,,,
663fa40f8a91151dd2f9ee9c,Sun Dec 17 21:45:33 +0000 2023,1736502919489548288,@intinyadeh Herannya fokumen pribadi kok dititipkan orang lain tololnya luar binasa udah lulus kuliah kok tolol,0,0,0,1,in,1355423051614064640,1736308894123868416,AMisedap,https://twitter.com/AMisedap/status/1736502919489548352,,,,
663fa40f8a91151dd2f9ee9d,Sun Dec 17 21:45:19 +0000 2023,1736502862967128320,"@scrnsyt @kegblgnunfaedh Wkwkwk, anak lulus kuliah macarin cwe 16 tahun,",0,0,0,0,in,1062161038752149504,1736346349556404480,Namaku_Fikri,https://twitter.com/Namaku_Fikri/status/1736502862967128205,,,,
663fa40f8a91151dd2f9ee9e,Sun Dec 17 21:43:13 +0000 2023,1736502332115079168,"SD SMP selalu masuk 3 besar, pas SMA ga remed aja udah alhamdulillah, pas kuliah yaudah wallahualam aja😭",0,0,0,0,in,1680159730478755840,1736502332115079168,nebo_ola,https://twitter.com/nebo_ola/status/1736502332115079266,,,,
663fa40f8a91151dd2f9ee9f,Sun Dec 17 21:42:02 +0000 2023,1736502034600489216,Aku capek sama tugas kuliah 😞,0,1,0,0,in,1615202218449457152,1736502034600489216,id7mega,https://twitter.com/id7mega/status/1736502034600489099,,,,
663fa40f8a91151dd2f9eea0,Sun Dec 17 21:41:53 +0000 2023,1736501996973392384,@tanyarlfes Hapus whatsapp biar apa? Ga kerja kau nder? Kuliah? Sekolah? Nyusahin org lain namanya itu,0,0,0,0,in,1161325342906126336,1736384452279062784,yunseongwaifu,https://twitter.com/yunseongwaifu/status/1736501996973392344,,,,
663fa40f8a91151dd2f9eea1,Sun Dec 17 21:41:32 +0000 2023,1736501907592741376,"gabisa tidur sampe pagi, tp kuliah pagi😩",0,0,0,0,in,1297854335477456896,1736501907592741376,pipipwo22,https://twitter.com/pipipwo22/status/1736501907592741269,,,,
663fa40f8a91151dd2f9eea2,Sun Dec 17 21:40:59 +0000 2023,1736501769604325888,-rl  kemaren aku habis ada acara keluarga trus bener aja dong ada pertanyaan2 nyebelin. dulu blm masuk kuliah ditanyain masuk mana. trus pas aku masi skripsian ditanyain kapan kelar. skrg lg nganggur nyari kerja ditanyain. sumpek bgt rasanya. tapi gabisa gak ikut jg krn  (cont..),0,3,0,1,in,1331620633726259200,1736501769604325888,ssefnum,https://twitter.com/ssefnum/status/1736501769604325798,,,,
663fa40f8a91151dd2f9eea3,Sun Dec 17 21:40:48 +0000 2023,1736501725853577728,"@LiviusX @AleaMichel @Little_secret9 Wkwkwk, situ gatau ya perjuangannya kuliah mati matian. Sampe banyak yang bundir. Kamu kalau masih SMA atau gak kuliah, udah diem gak usah bacot. Kuliah aja sono biar tahu rasanya",0,0,0,0,in,3581251273,1736167062924608000,Rizkialfi_ifa,https://twitter.com/Rizkialfi_ifa/status/1736501725853577628,,,,
663fa40f8a91151dd2f9eea4,Sun Dec 17 21:40:48 +0000 2023,1736501723492233472,@worksfess coba saja masukan. siapa tahu beberapa isi CVmu menarik (mungkin kegiatan selama kuliah yg tnyata bs menunjang kerja),0,0,0,0,in,1252151278085369856,1736332916744220672,tapi_bengkok,https://twitter.com/tapi_bengkok/status/1736501723492233594,,,,
663fa40f8a91151dd2f9eea5,Sun Dec 17 21:40:19 +0000 2023,1736501605103767808,"@belloiuse @convomfs Bikin small business. Kenapa ga dari awal kuliah ya kepikirannya😄 kan lumayan kalau dari dulu jualannya, bisa bantu2 ortu gausah minta uang jajan.",0,0,0,0,in,298264866,1736368418859926016,alifafadhila,https://twitter.com/alifafadhila/status/1736501605103767782,,,,
663fa40f8a91151dd2f9eea6,Sun Dec 17 21:40:05 +0000 2023,1736501542948335616,@tanyarlfes Lulus dan kuliah ke PTN yg diharapkan,0,0,0,0,in,1499393728263634944,1736378535584137472,markleemily,https://twitter.com/markleemily/status/1736501542948335705,,,,
