"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username","topic","topic_probability"
"1.8014851580525E+18","Fri Jun 14 23:59:28 +0000 2024","9","@XXXbyefelicia lol baru je tegur org comment pasal diet mesti cukup lemak utk awet muda/ youth look https://t.co/hbza10KTzr","1.8017664360227E+18","https://pbs.twimg.com/media/GQEo2VKaQAI5pcg.jpg","XXXbyefelicia","in","Malaysia","2","0","0","https://x.com/Fifayna/status/1801766436022665580","112919935","Fifayna","3","0.93145394325256"
"1.8017657525105E+18","Fri Jun 14 23:56:45 +0000 2024","0","Untuk saat ini bukannya gak mau diet tapi lagi suka sama bentuk badan sekarang tapi ttp jaga makan ","1.8017657525105E+18","","","in","","0","0","0","https://x.com/nastyyyycat/status/1801765752510497007","1.6968301380618E+18","nastyyyycat","0","0.86442321538925"
"1.8015958298974E+18","Fri Jun 14 23:56:14 +0000 2024","0","@nawwme Kenapa banyak yg pengen diet dah","1.8017656218496E+18","","nawwme","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/arressssssssss/status/1801765621849579917","1.4118759384223E+18","arressssssssss","0","0.20000000298023"
"1.8017655984286E+18","Fri Jun 14 23:56:08 +0000 2024","2","Rekom menu buat diet makasii kakanya udah nge-spill menu nya","1.8017655984286E+18","","","in","","0","0","0","https://x.com/leelyylee/status/1801765598428598610","1.0930623458556E+18","leelyylee","1","0.45049670338631"
"1.8012011098325E+18","Fri Jun 14 23:55:18 +0000 2024","0","@rimafebrr Kak kan dietnya udah ada perubahan nih apakah setelah itu terus bisa makan makanan kek dulu lagi?tapi dengan keterbatasan tentunya iya ngga? atau masih makan makanan yang sama seperti pas lagi diet?","1.8017653885079E+18","","rimafebrr","in","Depan kuburan","0","0","0","https://x.com/woyfit/status/1801765388507877635","1.3902360755792E+18","woyfit","0","0.91876727342606"
"1.8017652091217E+18","Fri Jun 14 23:54:35 +0000 2024","0","melihat tips diet... hmzz masih oke untuk diusahakan next tweet (gak makan krupuk) GABISAAA ARGHHH","1.8017652091217E+18","","","in","","0","0","0","https://x.com/ngacmuk/status/1801765209121689878","1.3946548397458E+18","ngacmuk","3","0.91946846246719"
"1.801764247439E+18","Fri Jun 14 23:50:46 +0000 2024","9601","rutsuki adalah cewek2 ketika disuruh diet https://t.co/bP6YAoM23Q","1.801764247439E+18","https://pbs.twimg.com/ext_tw_video_thumb/1801764188362321920/pu/img/JHHUjS0snm4SBQOA.jpg","","in","","176","243","1608","https://x.com/kvpall/status/1801764247439032616","2497536456","kvpall","4","0.31075793504715"
"1.8007698474268E+18","Fri Jun 14 23:48:41 +0000 2024","0","@peachtobeli Untukk Baekhyun semogaaa apa yg sedang kamu kerjakaan selama ini diberikan kelancaran tanpa bebas hambatan. Terus haru sehat juga no no diet lagi pokoknya. Makan apa yg lu mau https://t.co/twlHJRCM7R","1.8017637217963E+18","https://pbs.twimg.com/media/GQEmjmraQAAmAyy.jpg","xerozyphyr","in","","0","0","0","https://x.com/nhr_shinosuke/status/1801763721796325605","8.9427645937987E+17","nhr_shinosuke","0","0.9421272277832"
"1.8017628438991E+18","Fri Jun 14 23:45:11 +0000 2024","0","Ye betul siap ckp diet la kurang kn la mkn itu imi yada yada dahtu sudahnya last last kirg yg tk hbis bgi aku jugk jadi alam flora makan yang tak habis tu","1.8017628438991E+18","","","in","","0","0","0","https://x.com/ziqanimnim/status/1801762843899138337","1.3825018346952E+18","ziqanimnim","4","0.9550222158432"
"1.7990675365434E+18","Fri Jun 14 23:40:18 +0000 2024","1","@dhharu8610 @Adliinnn27 @sugakasep @taqdirkun @kegblgnunfaedh Diet puberty sama perawatan biasa ga bisa bikin bentuk dasar hidung tetiba sempit ujungnya jadi lancip dan tetiba tulang hidung makin tinggi tiap comeback. Kecuali perawatan oplas baru deh bisa ngubah bentuk.","1.8017616135001E+18","","dhharu8610","in","stargate","0","1","0","https://x.com/jrdsty/status/1801761613500060082","1.7692255232539E+18","jrdsty","0","0.55164819955826"
"1.8016040506535E+18","Fri Jun 14 23:40:12 +0000 2024","16","@mosidik @donnats13 Pasti diet tws yg belasan juta itu ya? Kerenn","1.8017615894709E+18","","mosidik","in","","0","4","3","https://x.com/andasia95039345/status/1801761589470892123","1.2442906788944E+18","andasia95039345","4","0.63832730054855"
"1.8015045486302E+18","Fri Jun 14 23:35:35 +0000 2024","0","@hyomacaa tidak diet dulu ca","1.801760428735E+18","","hyomacaa","in","personal account.","0","0","0","https://x.com/avmaze/status/1801760428734955726","718154719","avmaze","2","0.59929078817368"
"1.8015045486302E+18","Fri Jun 14 23:35:09 +0000 2024","0","@salsatrash engga diet","1.8017603167974E+18","","salsatrash","in","personal account.","0","0","0","https://x.com/avmaze/status/1801760316797424032","718154719","avmaze","0","0.20000000298023"
"1.8017589322073E+18","Fri Jun 14 23:29:39 +0000 2024","0","Jom start our morning with breakfast Breakfast dpt membantu tingkatkan metabolisma badan kita Kalau kita kawal pengambilan breakfast kita dapat kawal 80% drpd diet kita So lets","1.8017589322073E+18","","","in","Healthy Lifestyle","0","0","0","https://x.com/SyafiqAkia/status/1801758932207288371","2778793123","SyafiqAkia","3","0.87901765108109"
"1.8017585062632E+18","Fri Jun 14 23:27:57 +0000 2024","0","Fix hari senin gue diet dah ","1.8017585062632E+18","","","in","","1","0","0","https://x.com/leejeluoluluu/status/1801758506263187545","1.7225299371887E+18","leejeluoluluu","1","0.73307567834854"
"1.8012011098325E+18","Fri Jun 14 23:24:31 +0000 2024","0","@rimafebrr Klo kalian Tau Dokter Tan Shot Yen kalian ikutin aja pola makan dia asal kalian kuat Iman &amp; kuat duit (krn makan sehat itu mahal) insya Allah bakal turun drastis berat badannya + bakal sehat luar biasa. Gw dah ngerasain bukan buat diet BB sih tapi diet krn gw emang ada sakit","1.8017576408441E+18","","rimafebrr","in","Kazakhstan","0","0","0","https://x.com/bajubasahcok/status/1801757640844054561","1.8011718731932E+18","bajubasahcok","2","0.96606063842773"
"1.8015749355232E+18","Fri Jun 14 23:22:57 +0000 2024","0","@khoirunnisadaa Emang target marketingnya haha","1.8017572467976E+18","","khoirunnisadaa","in","Surakarta, Jawa Tengah","0","0","0","https://x.com/Sedang_DietOi/status/1801757246797582705","1364044758","Sedang_DietOi","3","0.55114877223969"
