conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_tweet,topic_cluster
1800679330726715550,Tue Jun 11 23:59:42 +0000 2024,1,TIMNAS PRIA DAN WANITA MENANG + ERIK TEN HAG STAY,1800679330726715550,,,in,Indonesia,0,0,0,https://x.com/tigapuluhtigax/status/1800679330726715550,1188470356668895234,tigapuluhtigax,timnas pria wanita menang erik ten hag stay,7
1800679305925800015,Tue Jun 11 23:59:36 +0000 2024,1,ngerasa ga sih sekarang timnas kalo main pakek jersey putih tuh aura menangnya naik drastis beda sama dulu kalo main pakek jersey putih nih pesimis duluan #TimnasDay,1800679305925800015,,,in,"Jombang, Indonesia",0,0,0,https://x.com/sotongism/status/1800679305925800015,961056397063409664,sotongism,ngerasa ga sih sekarang timnas kalo main pakek jersey putih tuh aura menangnya naik drastis beda dulu kalo main pakek jersey putih nih pesimis duluan,3
1800679288326476196,Tue Jun 11 23:59:31 +0000 2024,0,2 Sejarah Dicetak Timnas Indonesia Usai Ganyang Filipina STY Pelatih Pemecah Rekor. #TimNasDay https://t.co/nLxTrlEYx5.,1800679288326476196,,,in,,0,0,0,https://x.com/peanutkacang123/status/1800679288326476196,1464596330421100548,peanutkacang123,sejarah dicetak timnas indonesia usai ganyang filipina sty pelatih pemecah rekor,1
1800589420766355730,Tue Jun 11 23:59:28 +0000 2024,0,@womensfootie_id Tinggal tmbah pemain diaspora bisa lah ini timnas putri bersaing di Asia ,1800679273185047018,,womensfootie_id,in,,0,0,0,https://x.com/PKananku1927/status/1800679273185047018,1772880651248939008,PKananku1927,tinggal tmbah pemain diaspora lah timnas putri bersaing asia,4
1800679270857286043,Tue Jun 11 23:59:27 +0000 2024,0,Timnas Indonesia Vs Timnas Filipina 2-0 Indonesia Lolos ke Putaran Ketiga Kuaifikasi Piala Dunia 2026 https://t.co/if6QFIOQdd #sepakbola #IndonesiaFilipina #kualifikasipialadunia #TimnasIndonesia #TimnasFilipina #pssi,1800679270857286043,,,in,,0,0,0,https://x.com/kangsil2012/status/1800679270857286043,546890263,kangsil2012,timnas indonesia vs timnas filipina indonesia lolos putaran ketiga kuaifikasi piala dunia,1
1800633025291837498,Tue Jun 11 23:59:11 +0000 2024,1,@amayzing__ @idextratime antara lu fomo timnas atau emang kaga ngerti sistem pot,1800679202435539223,,amayzing__,in,,0,0,0,https://x.com/refnotrev/status/1800679202435539223,1101158658770034688,refnotrev,fomo timnas emang kaga ngerti sistem pot,0
1800663872615174627,Tue Jun 11 23:59:11 +0000 2024,193,@fahmiiiiii14 @idextratime Beliau ini literally mantan pemain timnas yg beneran orang bola. Lah yg duduk di vip malah artis2 ga jelas. Kesannya kek habis manis sepah dibuang njir,1800679201147949083,,KimJongUncchhhh,in,,0,2,6,https://x.com/KimJongUncchhhh/status/1800679201147949083,1710346587900391424,KimJongUncchhhh,beliau literally mantan pemain timnas beneran orang bola lah duduk vip malah artis ga jelas kesannya kek habis manis sepah dibuang njir,5
1800679130964648191,Tue Jun 11 23:58:54 +0000 2024,0,Ternyata jodohnya sama Indo-Philiphine bukan Indo-Irak. Bonus liat perjuangan timnas lolos ke putaran ketiga : ),1800679130964648191,,,in,,0,0,0,https://x.com/joyszeamays/status/1800679130964648191,1503040731056795649,joyszeamays,ternyata jodohnya indophiliphine bukan indoirak bonus liat perjuangan timnas lolos putaran ketiga,1
1800663003375047147,Tue Jun 11 23:58:44 +0000 2024,10,@StatsRawon Kyok e Malik Rivera ambek glison Costa soale Malik wes mari teko timnas Kari Poto ambk gwe vidio,1800679088925077879,,StatsRawon,in,,0,0,0,https://x.com/DenSombedt/status/1800679088925077879,1787710502501756928,DenSombedt,kyok e malik rivera ambek glison costa soale malik wes teko timnas kari poto ambk gwe vidio,5
1800679074396082203,Tue Jun 11 23:58:40 +0000 2024,1,Sareneng kitu timnas menang? Abi mah bodo amat,1800679074396082203,,,in,"Bandung, Jawa Barat",0,1,0,https://x.com/ilyasaihza_/status/1800679074396082203,1308420435554504707,ilyasaihza_,sareneng kitu timnas menang abi mah bodo,8
1800674984060391489,Tue Jun 11 23:58:34 +0000 2024,0,@OneSuccumb timnas kapan ya maen di bdg,1800679048777240601,,OneSuccumb,in,"Depok, Indonesia",0,1,0,https://x.com/RendyAf14/status/1800679048777240601,1636682464394641409,RendyAf14,timnas kapan maen bdg,4
1800679024370597931,Tue Jun 11 23:58:29 +0000 2024,0,Ternyata gini rasanya punya timnas jago,1800679024370597931,,,in,"Depok, Jawa Barat",0,0,0,https://x.com/situmeangbennyy/status/1800679024370597931,2400108823,situmeangbennyy,ternyata rasanya punya timnas jago,0
1800561537641562464,Tue Jun 11 23:58:23 +0000 2024,0,@Iyangaprill Lawak emng org bandung ajg ni kontol lu semua pendukung Persib ajg ini timnas bung bukan dukung antar club gosa merasa klub lu hebat dari timnas jijik gua lihat komen penduduk Persib ni tolol,1800679002828579212,,Iyangaprill,in,"Sumatera Utara, Indonesia",0,0,0,https://x.com/Aryapratam19/status/1800679002828579212,1711658738854268928,Aryapratam19,lawak emng org bandung ajg ni kontol semua pendukung persib ajg timnas bung bukan dukung antar club gosa merasa klub hebat timnas jijik gua lihat komen penduduk persib ni tolol,3
1800678965453193453,Tue Jun 11 23:58:15 +0000 2024,62,Prediksi pembagian POT undian Round 3 Kualifikasi Piala Dunia 2026. Timnas Garuda masuk POT terakhir karena termasuk yang paling rendah ranking FIFA nya. Undian akan dilakukan 27 Juni mendatang. Ingin satu grup dengan siapa lob? #BolalobFootball https://t.co/fdmfDdUXTI,1800678965453193453,https://pbs.twimg.com/media/GP1L94xasAAyI1_.jpg,,in,"Lapangan Futsal, Indonesia",6,29,16,https://x.com/Bolalob/status/1800678965453193453,141161798,Bolalob,prediksi pembagian pot undian round kualifikasi piala dunia timnas garuda masuk pot terakhir termasuk paling rendah ranking fifa nya undian dilakukan juni mendatang satu grup siapa lob,2
1800629685908279367,Tue Jun 11 23:58:00 +0000 2024,0,@SHLWT_FC @IraqFootballPod Bangke onion kids wkwkwk,1800678905273266300,,SHLWT_FC,in,"DKI Jakarta, Indonesia",0,0,0,https://x.com/iamultras/status/1800678905273266300,1245377765546713088,iamultras,bangke onion kids wkwkwk,9
1800678898222674414,Tue Jun 11 23:57:58 +0000 2024,0,Kalo kondisi rumput GBK masih jelek mendingan buat konser aja. Timnas pake stadion lain yg layak,1800678898222674414,,,in,Kendal,0,0,0,https://x.com/AchsanNurh/status/1800678898222674414,526084482,AchsanNurh,kalo kondisi rumput gbk jelek mendingan buat konser aja timnas pake stadion layak,8
1800678892174561431,Tue Jun 11 23:57:57 +0000 2024,4,gua mimpi sekeluarga di kejar kejar timnas soalnya kita di jajah lagi kesel bgt sm si Rafa Rafa itu hampir mau gebukin gua pls lah ini mimpi tercape karena harus lari ngumpet ,1800678892174561431,,,in,,0,8,0,https://x.com/ndeyday/status/1800678892174561431,1234353310645116928,ndeyday,gua mimpi sekeluarga kejar kejar timnas soalnya jajah kesel bgt sm si rafa rafa hampir mau gebukin gua pls lah mimpi tercape lari ngumpet,6
1800678814814732639,Tue Jun 11 23:57:39 +0000 2024,1,Timnas menang EtH stay ,1800678814814732639,,,in,,0,0,0,https://x.com/alfiqulizzi/status/1800678814814732639,1016767472572063744,alfiqulizzi,timnas menang eth stay,4
1800663037122384117,Tue Jun 11 23:57:25 +0000 2024,2,@idextratime Tenang pak Haye setelah ini rumput gbk akan dibenerin lagi kok sampe bagus tapi ya buat konser bukan buat timnas,1800678758678241694,,idextratime,in,Indonesia,0,1,0,https://x.com/irwan_saahh/status/1800678758678241694,1464788537178480640,irwan_saahh,tenang pak haye rumput gbk dibenerin kok sampe bagus buat konser bukan buat timnas,8
1800678728068153789,Tue Jun 11 23:57:18 +0000 2024,0,Antisipasi ditinggal Frenkie de Jong yang cederanya tak kunjung membaik. Timnas Belanda memanggil pemain keturunan Indonesia Ian Maatsen dalam ajang EURO 2024 ini. . Kesempatan emas nih bang Ian. https://t.co/s40gJOuq3T,1800678728068153789,https://pbs.twimg.com/media/GP1LwG2a0AAySMR.jpg,,in,,0,0,0,https://x.com/Ekingsindo/status/1800678728068153789,1466725061499699208,Ekingsindo,antisipasi ditinggal frenkie de jong cederanya tak kunjung membaik timnas belanda memanggil pemain keturunan indonesia ian maatsen ajang euro kesempatan emas nih bang ian,4
1800678675622547905,Tue Jun 11 23:57:05 +0000 2024,1,Temen gw yg biasanya tiap tahun ranjin nonton badminton di istora karna ueforia badminton lagi menurun tiba2 tahun ini nonton timnas bola Hahaha Ga apa2 yg penting dukung terus atllit2 Indonesia ke kancah dunia 🇮🇩,1800678675622547905,,,in,,0,0,0,https://x.com/fun_hanif/status/1800678675622547905,230964002,fun_hanif,temen gw biasanya tiap tahun ranjin nonton badminton istora karna ueforia badminton menurun tiba tahun nonton timnas bola hahaha ga apa penting dukung terus atllit indonesia kancah dunia,7
1800563481235894727,Tue Jun 11 23:57:05 +0000 2024,0,@kibooocil Bang tolong saya mau join sirkel tribun timnas carane piye,1800678675404427599,,kibooocil,in,,0,0,0,https://x.com/najbi69/status/1800678675404427599,1529419447676522498,najbi69,bang mau join sirkel tribun timnas carane piye,9
1800559946280628573,Tue Jun 11 23:56:56 +0000 2024,120,@MafiaWasit Maka dari itu dihimbau untuk lebih sadar diri gak usah berekspektasi berlebihan dan cukup mendukung Timnas supaya memberikan yang terbaik aja,1800678636418408865,,MafiaWasit,in,,0,2,0,https://x.com/abcdefitria/status/1800678636418408865,720968252210319360,abcdefitria,dihimbau lebih sadar diri gak usah berekspektasi berlebihan cukup mendukung timnas memberikan terbaik aja,4
1800553018552992170,Tue Jun 11 23:56:54 +0000 2024,0,@SiaranBolaLive Setuju... sangat yakin timnas bisa main di luar GBK. 3 match terakhir jd bukti bahwa pengelola GBK sgt sgt tidak serius. Ayo pssi alternatif pasti ada.,1800678627174228045,,SiaranBolaLive,in,,0,0,0,https://x.com/Franzy_Lin/status/1800678627174228045,551556169,Franzy_Lin,setuju sangat yakin timnas main luar gbk match terakhir jd bukti pengelola gbk sgt sgt serius ayo pssi alternatif,2
