_id,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name,__v,emotion
663fa4248a91151dd2fa3cb5,Sun Apr 21 17:53:38 +0000 2024,1.7821054261814395e+18,@never_069 @Liberacrat_ @JoeBiden Iran is a terror state so... When you look at the terrorism is mostly Islamic based. They want to wipe Israel and of course US and Europe if they could off the face of the earth. Get it through your thick skull.,0,0,0,0,en,1305997170768830464,1780219377704415488,twittesuckss,https://twitter.com/twittesuckss/status/1782105426181439616,,,never_069,,Fear
663fa4248a91151dd2fa3cb6,Sun Apr 21 17:53:34 +0000 2024,1.7821054120256433e+18,@Rizwanmalik49 Can this even get shot down? Hopefully not! I don t know why Iran keeps playing games with little Israel? I m American and I m fed up with them!,0,1,0,1,en,1563610826216337408,1782099205982749184,broken_glass___,https://twitter.com/broken_glass___/status/1782105412025643266,,"Weimar, USA",Rizwanmalik49,,Fear
663fa4248a91151dd2fa3cb7,Sun Apr 21 17:53:09 +0000 2024,1.7821053069838093e+18,The problem is that the US and Israel will steal the money. All donations to Palestinians need to go to Iran China and Russia,0,0,0,0,en,1680054312234520576,1782105306983809280,CCorbett584148,https://twitter.com/CCorbett584148/status/1782105306983809376,,"Barrow, AK",,,Anger
663fa4248a91151dd2fa3cb8,Sun Apr 21 17:53:08 +0000 2024,1.7821053021600276e+18,@Kilch_Warrior @RishiSunak Israel attacked the person who greenlighted the 10/7 massacre. Iran attacked the entire country of Israel. Typical terrorists,0,0,0,0,en,1285794839280226304,1779896467198472448,GingerMarieAre,https://twitter.com/GingerMarieAre/status/1782105302160027717,,"Denver, CO",Kilch_Warrior,,Anger
663fa4248a91151dd2fa3cb9,Sun Apr 21 17:52:36 +0000 2024,1.7821051687647068e+18,@MohdSha33812904 @aliqqasim @tanmoyofc @Dilli_Waala_ @Adil_INC_ @anushakunmittal @asmatasleem13 @DeepAggarwalinc @EnvironGanguly @INDIA_Saifuddin @SeemaSengupta5 @Sanjib__Haloai @MohdMuzzammilK What inflation are you talking about....you don't have Knowledge about those things just watching videos on youtube Inflation of india is 5.1% The iran vs Israel israel vs hamas and ukraine vs russia war created a havoc worldwide Germany Uk japan are under recession,0,0,0,1,en,1449380464804777984,1782067965586014464,AdittyaDebnath2,https://twitter.com/AdittyaDebnath2/status/1782105168764706822,,Kolkata,MohdSha33812904,,Neutral
663fa4248a91151dd2fa3cba,Sun Apr 21 17:52:10 +0000 2024,1.7821050573513897e+18,@RepMTG Israel set up the 'attack' to be blamed on Iran to take action etc. The fabric of America is all coming apart under Joke' Biden and war is all that 's wanted. https://t.co/tYjJ0e6BD2,0,0,0,0,en,215471532,1781864192426820096,lurnorman4,https://twitter.com/lurnorman4/status/1782105057351389689,,,RepMTG,,Anger
663fa4248a91151dd2fa3cbb,Sun Apr 21 17:52:05 +0000 2024,1.7821050370632177e+18,Buying a nuke with Biden's billions? @sfrantzman,0,1,2,6,en,1508889793098391552,1782105037063217664,JerusalemDiary,https://twitter.com/JerusalemDiary/status/1782105037063217589,,Haifa Israel,,,Anger
663fa4248a91151dd2fa3cbc,Sun Apr 21 17:51:53 +0000 2024,1.7821049857168346e+18,Iran s supreme leader praises armed forces attack on Israel. #Israel #Iran https://t.co/Brsf4pnTlV,0,0,0,0,en,1629407548951654400,1782104985716834560,wr__leader,https://twitter.com/wr__leader/status/1782104985716834621,https://pbs.twimg.com/media/GLtPCjCboAAyhKS.jpg,Earth,,,Anger
663fa4248a91151dd2fa3cbd,Sun Apr 21 17:51:42 +0000 2024,1.7821049422132022e+18,See anti Hamas anti Palestine anti Iran anti Israel anti Russia anti Ukraine or anti any side that s involved in a war on my social media timeline and my cynical mind wonders if they are being anti the right people or group? #JustSaying #WarIsABusiness,0,0,0,0,en,80674726,1782104942213202176,5K4R,https://twitter.com/5K4R/status/1782104942213202057,,England,,,Neutral
663fa4248a91151dd2fa3cbe,Sun Apr 21 17:51:41 +0000 2024,1.782104938354455e+18,@netanyahu We are Iran not the Islamic Republic ما ايران هستيم، As an Iranian I dont stand with the terrorist Islamic regime occupying Iran. We stand with our exiled crown prince @PahlaviReza and sympathize with #Israel @visegrad24 @TheMossadIL @netanyahu #IraniansStandWithIsrael https://t.co/8Ou99BDCku,0,0,0,0,en,1662526399406637056,1782067714145521920,nik4076,https://twitter.com/nik4076/status/1782104938354455020,https://pbs.twimg.com/media/GLtO_zJWAAANXsO.jpg,,netanyahu,,Love
