_id,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name,__v,emotion
663fa4198a91151dd2fa15a5,Tue Nov 07 04:04:46 +0000 2023,1721740448748941568,"Hadiri Tabligh Akbar Peringatan Hari Santri di Panawangan, Wabup Sampaikan Peran Santri Hingga Bersikap Bijak Hadapi Pemilu https://t.co/ImaUfA8VSf",0,0,0,0,in,1135043935892410368,1721740448748941568,Pemkab_Ciamis,https://twitter.com/Pemkab_Ciamis/status/1721740448748941612,,,,,Neutral
663fa4198a91151dd2fa15a6,Tue Nov 07 04:04:19 +0000 2023,1721740338220630016,"Mari kita jaga Pemilu damai, tertib dan lancar untuk Indonesia Maju dan Sejahtera.  #Polri #PoldaNTT #PolresKupang https://t.co/uZ2WmDbQk0",0,0,0,0,in,988414760914903040,1721740338220630016,HumasKupang,https://twitter.com/HumasKupang/status/1721740338220630065,,,,,Neutral
663fa4198a91151dd2fa15a7,Tue Nov 07 04:04:19 +0000 2023,1721740337805406464,"SUKSESKAN PEMILU TAHUN 2024, JANGAN MAU DIADU DOMBA  #MadiunKabupaten #Madiunguyubrukun #madiunaman #anton_2003ts #kapolresmadiun #pelayananprima https://t.co/OxwKBJqtmu",0,0,0,0,in,1587736013857644544,1721740337805406464,PolsekGeger2,https://twitter.com/PolsekGeger2/status/1721740337805406591,,,,,Neutral
663fa4198a91151dd2fa15a8,Tue Nov 07 04:04:16 +0000 2023,1721740323163165184,"seperti biasa, for the moment before to Pemilu, ada pihak-pihak yang terlalu glorifikasi pilihannya, semoga damai terus ya inget kalo kalah jangan baperan, jangan ngambekan apalagi bakar-bakaran😆",0,0,0,1,in,1670955708,1721740323163165184,GilangAlghfr,https://twitter.com/GilangAlghfr/status/1721740323163165064,,,,,Joy
663fa4198a91151dd2fa15a9,Tue Nov 07 04:04:00 +0000 2023,1721740259598442752,"Pemeliharaan kesehatan personil dalam Pengamanan Pemilu 2024  Tim kesehatan Polresta Sidoarjo berkomitmen untuk memastikan bahwa anggota yang bertugas dalam kondisi prima, sehingga mereka dapat memberikan pelayanan terbaik. Bersama, kita menjaga kamtibmas menjelang pemilu  2024. https://t.co/J2unFIzWCQ",0,0,0,0,in,768005976104374272,1721740259598442752,polresta_sda,https://twitter.com/polresta_sda/status/1721740259598442640,,,,,Joy
663fa4198a91151dd2fa15aa,Tue Nov 07 04:03:45 +0000 2023,1721740196675478016,@kumparan Rejim ini paling bobrok etika politiknya... digaji rakyat tapi fully mikirin pemilu...sesekali koar-koar tentang kerjaan di tv hanya utk pantes-pantesan aja... gak ada perbaikan buat kehidupan rakyat...,0,0,0,0,in,1228978096084152320,1721698528609853696,Dodolmeong1,https://twitter.com/Dodolmeong1/status/1721740196675477975,,,,,Anger
663fa4198a91151dd2fa15ab,Tue Nov 07 04:03:20 +0000 2023,1721740091071369216,"Hai #TemanPemilih  98 Hari lagi menuju pemilu serentak Tahun 2024, Ayo Gunakan Hak pilihmu pada TPS nanti, dan Jangan Golput yaaa.   #KPUMelayani #PemiluSerentak2024 https://t.co/nvSzDXw5TQ",0,0,0,1,in,1401743866030559232,1721740091071369216,KBonebolango,https://twitter.com/KBonebolango/status/1721740091071369298,,,,,Neutral
663fa4198a91151dd2fa15ac,Tue Nov 07 04:03:07 +0000 2023,1721740036780294400,"Bhabinkamtibmas dari Polsek Kadipaten, Polres Majalengka, Polda Jawa Barat, terus gencar melaksanakan kegiatan sambang ke masyarakat dan secara rutin memberikan himbauan untuk menjaga keamanan dan ketertiban menjelang Pemilu. https://t.co/iT7Jb5ojVC",0,0,0,1,in,1206735428407050240,1721740036780294400,HumasPolresMaj1,https://twitter.com/HumasPolresMaj1/status/1721740036780294510,,,,,Neutral
663fa4198a91151dd2fa15ad,Tue Nov 07 04:03:03 +0000 2023,1721740017410965760,"Apa Saja Yang Harus Dibawa Saat Ke TPS  Pemilu 2024 semakin dekat nih, jangan lupa cek daftar barang apa saja yang harus kamu bawa saat datang ke TPS. Apa saja ya? Yuk simak info berikut.  Sumber: https://t.co/P31o0WIZhj  #DamaiPemiluIndonesia #JabarAmanDamai https://t.co/Iia70PHN4j",0,0,0,0,in,1411544856334258176,1721740017410965760,PolsekCibadak,https://twitter.com/PolsekCibadak/status/1721740017410965682,,,,,Neutral
663fa4198a91151dd2fa15ae,Tue Nov 07 04:02:37 +0000 2023,1721739911550894592,"Giat Bhabinkamtibmas Polsek Gunung Sugih Polres Lampung Tengah. Selasa (7/11/2023)  Melqksanqkan giat sambang dan memasang pamflet Himbauan Kapolda Lampung Terhadap Pelaksanaan Pemilu 2024 serta menyampaikan pesan-pesan Kamtibmas agar tercipta suasana yg aman, nyaman dan kondusif https://t.co/rYpiHMfdaz",0,0,0,0,in,1269125579841798144,1721739911550894592,SugihPolsek,https://twitter.com/SugihPolsek/status/1721739911550894530,,,,,Neutral
