_id,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name,__v,emotion
663fa41f8a91151dd2fa292d,Wed Nov 29 14:33:15 +0000 2023,1729871147108581632,Sindiran telak dari siswa cerdas terkait politik dinasti... Malu ga ... Malu ga... Harusnya malu dong   #OrdeBaruReborn https://t.co/32Q2Uzntj2,6,10,71,156,in,4184979312,1729871147108581632,AntoniusCDN,https://twitter.com/AntoniusCDN/status/1729871147108581736,,,,,Anger
663fa41f8a91151dd2fa292e,Wed Nov 29 14:32:45 +0000 2023,1729871021707244032,"@ch_chotimah2 @gm_gm Ini fitnah. PSI harus tuntut. Ehhh, gak boleh. Kan politik santuy....",0,0,0,0,in,1154613758599163904,1729852458694836480,Joshua28389149,https://twitter.com/Joshua28389149/status/1729871021707243954,,,,,Anger
663fa41f8a91151dd2fa292f,Wed Nov 29 14:32:35 +0000 2023,1729870980791898368,"@crezative Betoools.  Kalo aku, dari jaman ribat-ribut politik hobinya manage following. Unfollow atau mute, adalah jalan ninjaku. 🥷  Masih muak? Pilih uninstall twitter demi damaiku.🤣",0,0,0,0,in,90679150,1729500905123328000,iitsibarani_,https://twitter.com/iitsibarani_/status/1729870980791898460,,,,,Anger
663fa41f8a91151dd2fa2930,Wed Nov 29 14:31:55 +0000 2023,1729870809592996096,INI BENER BANGET YAA ALLAH TOLONG KEMBALIKAN KETIKAN LUCUKU TANPA UNSUR POLITIK,0,0,0,0,in,235012308,1729870809592996096,ynswhyn,https://twitter.com/ynswhyn/status/1729870809592995988,,,,,Love
663fa41f8a91151dd2fa2931,Wed Nov 29 14:31:52 +0000 2023,1729870798838714368,@Gus_Raharjo Riang gembira dan humoris dalam politik bisa membantu menarik perhatian dan menciptakan kedekatan dengan masyarakat.,0,0,0,0,in,1484905970958729216,1729718931383058688,_Lonamaya,https://twitter.com/_Lonamaya/status/1729870798838714461,,,,,Joy
663fa41f8a91151dd2fa2932,Wed Nov 29 14:31:51 +0000 2023,1729870795101643008,"@Kimberley_2024 Dalam politik, apakah makan siang gratis benar-benar gratis?  Kalau ia, sejak sekarang mari kita bakar klausa dalam politik, tidak ada makan siang gratis"".  This.""",1,2,1,1,in,1965334135,1729764366151520512,yadhijashar,https://twitter.com/yadhijashar/status/1729870795101643083,,,,,Neutral
663fa41f8a91151dd2fa2933,Wed Nov 29 14:31:45 +0000 2023,1729870767196942592,"@IdrisMarkoni @VIVAcoid Pantas jadi jongosnya kan dia bukan kiai bukan Gus,dia makelar politik wkwkwkwk",0,0,0,0,in,1706731370834542592,1729777612720079360,MohSalim299487,https://twitter.com/MohSalim299487/status/1729870767196942638,,,,,Anger
663fa41f8a91151dd2fa2934,Wed Nov 29 14:31:44 +0000 2023,1729870763778609664,"@tvOneNews Kalau yang begini termasuk money politic nggak sih, tentu nggak lah itu kan MASU politik 😭😭😭",0,0,0,0,in,936963347374776320,1729652211435860480,jogja_sulis,https://twitter.com/jogja_sulis/status/1729870763778609616,,,,,Sad
663fa41f8a91151dd2fa2935,Wed Nov 29 14:31:21 +0000 2023,1729870667192115456,"@oryaoiii @fmaulana179 @kompascom Kurangnya bukti bukan menjadi alasan pelaporan disebut fitnah. Ini jelas kekeliruan pikir. Kurangnya bukti seharusnya dilengkapi dan dibantu penelusurannya.  Alasan penangkapan Ketua KPK saat ini adalah indikasi jelas, bahwa KPK menjadi alat politik, bukan lagi penegakan hukum.",0,4,1,18,in,1252247274006044672,1729813093222617344,muldirun,https://twitter.com/muldirun/status/1729870667192115357,,,,,Anger
663fa41f8a91151dd2fa2936,Wed Nov 29 14:31:01 +0000 2023,1729870584266543360,"@psi_id Asik Politik jadi kekinian banget dengan sentuhan Gemoy, bikin gak bosen teman²🫰🏼",0,0,0,0,in,945481436,1729838649548603648,axelbaronn,https://twitter.com/axelbaronn/status/1729870584266543267,,,,,Joy
663fa41f8a91151dd2fa2937,Wed Nov 29 14:30:45 +0000 2023,1729870519099658752,"@OssyDermawan Mereka yang menolak dan mencemooh gemoy"" sebenarnya kurang memahami realitas massa. Generasi Gibran ga butuh hal² yg menyita pikiran yg berat².  Utk menarik suara di TPS nanti tdk butuh debat gagasan yg memusingkan. Mereka ingin politik dg happy² bukan maki².""",0,0,0,0,in,1294298893207756800,1729509275020456192,SiputUpdate,https://twitter.com/SiputUpdate/status/1729870519099658740,,,,,Joy
663fa41f8a91151dd2fa2938,Wed Nov 29 14:30:36 +0000 2023,1729870480973455616,"@strike_bravo_b strategi politik tapi ga segitunya, itu timnya dah gendut, banyak orang bisa ngomongin mewakili paslonnya, malah tidak hadir, sayang sekali ga bisa dengerin jawaban lks pas esde dulu.",0,0,0,1,in,1514158091364831232,1729864914041499904,Mochi5435,https://twitter.com/Mochi5435/status/1729870480973455574,,,,,Sad
663fa41f8a91151dd2fa2939,Wed Nov 29 14:30:24 +0000 2023,1729870431501639680,@AREAJULID Spill rate card kalo berbau politik min,0,0,0,0,in,1432924067229700096,1729834549000172032,tidurbesokkaya,https://twitter.com/tidurbesokkaya/status/1729870431501639806,,,,,Neutral
663fa41f8a91151dd2fa293a,Wed Nov 29 14:29:41 +0000 2023,1729870248692875520,@idextratime saatnya keluar dari zona gimik politik,0,0,0,0,in,1135693369760292864,1729848932757344512,cryufh,https://twitter.com/cryufh/status/1729870248692875559,,,,,Neutral
663fa41f8a91151dd2fa293b,Wed Nov 29 14:29:17 +0000 2023,1729870147043881472,"Momentum HUT Korpri, Bupati #Karanganyar Ingatkan ASN Tidak Main Politik Praktis #klikRMOL https://t.co/9z7JPtlpa8",0,0,0,0,in,950627851140710400,1729870147043881472,rmoljateng,https://twitter.com/rmoljateng/status/1729870147043881351,,,,,Neutral
663fa41f8a91151dd2fa293c,Wed Nov 29 14:29:16 +0000 2023,1729870143403196672,"Seringkali Gemoy diartikan sebagai Gemar menculik orang ya"". Bahkan baru-baru ini diketahui bahwa Gemoy juga dipakai sebagai merek produk perlengkapan untuk BAB kucing. Artinya penggunaan gimik Gemoy yg disarankan konsultan politik untuk menutupi ketidakkompetenan gagal total. https://t.co/QkvRLg6OuE""",0,0,0,0,in,1017614898006638592,1729870143403196672,pututpranoto1,https://twitter.com/pututpranoto1/status/1729870143403196642,,,,,Anger
663fa41f8a91151dd2fa293d,Wed Nov 29 14:28:51 +0000 2023,1729870040529588480,@Humairah_922 Semestinya tak usah bikin acara2 kayak gini di thn politik..nanti malah bikin suara umat islam terpecah...,0,2,0,2,in,1680596362604449792,1729861491787206912,CahayaMuly30243,https://twitter.com/CahayaMuly30243/status/1729870040529588487,,,,,Fear
663fa41f8a91151dd2fa293e,Wed Nov 29 14:28:29 +0000 2023,1729869947202109440,@rungipub Wes ngga usah nyrempet2 akun politik napa,0,1,0,0,in,230947296,1729869394397016576,indrimiese,https://twitter.com/indrimiese/status/1729869947202109448,,,,,Neutral
